[2026-02-05 14:28:43] [DOWODCA] START
[2026-02-05 14:28:43] [OPERATOR] START
[2026-02-05 14:28:43] [DRON 3171691] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171692] START | T1=15s T2=37s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171693] START | T1=7s T2=17s T_return=3s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171699] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171694] START | T1=9s T2=22s T_return=4s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171695] START | T1=32s T2=80s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171697] START | T1=27s T2=67s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171698] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171696] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171700] START | T1=21s T2=52s T_return=10s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171702] START | T1=25s T2=62s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171701] START | T1=20s T2=50s T_return=10s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171704] START | T1=25s T2=62s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171703] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171706] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171708] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171707] START | T1=25s T2=62s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171710] START | T1=39s T2=97s T_return=19s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171709] START | T1=27s T2=67s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171705] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171713] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171722] START | T1=9s T2=22s T_return=4s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171730] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171724] START | T1=30s T2=75s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171742] START | T1=19s T2=47s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171756] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171762] START | T1=14s T2=35s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171729] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171727] START | T1=23s T2=57s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171717] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171739] START | T1=21s T2=52s T_return=10s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171745] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171714] START | T1=23s T2=57s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171721] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171720] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171726] START | T1=7s T2=17s T_return=3s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171719] START | T1=12s T2=30s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171723] START | T1=8s T2=20s T_return=4s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171763] START | T1=16s T2=40s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171728] START | T1=30s T2=75s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171764] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171760] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171761] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171734] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171747] START | T1=30s T2=75s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171783] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171740] START | T1=33s T2=82s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171725] START | T1=30s T2=75s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171712] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171733] START | T1=33s T2=82s T_return=16s drain=1%/s
